Company,Website,Platform,Revenue,Industry,Score,Tier,Fit Reasons,Final Category
Outdoor Research,http://www.outdoorresearch.com,Shopify,"$76,800,000",apparel & fashion,95,TIER 1A - Verified Strong,Shopify; Zendesk; Revenue $77M; Priority vertical: apparel & fashion; Decision complexity; DTC signals,TIER 1A - Verified Strong
Drip Drop Hydration,http://www.dripdrop.com,Shopify,"$15,000,000","health, wellness & fitness",95,TIER 1A - Verified Strong,"Shopify; Gorgias; Zendesk; Revenue $15M; Priority vertical: health, wellness & fitness; Decision complexity; DTC signals",TIER 1A - Verified Strong
Benchmade Knife Co. Inc.,http://www.benchmade.com,Shopify,"$101,900,000",mechanical or industrial engineering,80,TIER 1A - Verified Strong,Shopify; Zendesk; Revenue $102M; Decision complexity; DTC signals,TIER 1A - Verified Strong
CamelBak Products,http://www.camelbak.com,Shopify,"$160,000,000",retail,80,TIER 1A - Verified Strong,Shopify; Zendesk; Revenue $160M; Decision complexity; DTC signals,TIER 1A - Verified Strong
"Wiley X, Inc.",http://www.wileyx.com,Shopify,"$39,200,000",mechanical or industrial engineering,75,TIER 1A - Verified Strong,Shopify; Zendesk; Revenue $39M; Decision complexity; DTC signals,TIER 1A - Verified Strong
My Medic,http://www.mymedic.com,Shopify,"$10,000,000","health, wellness & fitness",75,TIER 1A - Verified Strong,"Shopify; Revenue $10M; Priority vertical: health, wellness & fitness; Decision complexity; DTC signals",TIER 1A - Verified Strong
Realtree,http://www.realtree.com,BigCommerce,"$23,300,000",sporting goods,70,TIER 1A - Verified Strong,BigCommerce (large); Revenue $23M; Priority vertical: sporting goods; Decision complexity; DTC signals,TIER 1A - Verified Strong
Nexbelt,http://www.nexbelt.com,Shopify,"$12,000,000",apparel & fashion,85,TIER 1B - Verified Good,Shopify; Gorgias; Revenue $12M; Priority vertical: apparel & fashion; Decision complexity; DTC signals,TIER 1B - Verified Good
Eberlestock,http://www.eberlestock.com,Shopify,"$32,256,000",sporting goods,80,TIER 1B - Verified Good,Shopify; Revenue $32M; Priority vertical: sporting goods; Decision complexity; DTC signals,TIER 1B - Verified Good
AXIL,http://www.goaxil.com,Shopify,"$26,257,000",electrical/electronic manufacturing,75,TIER 1B - Verified Good,Shopify; Gorgias; Revenue $26M; Decision complexity; DTC signals,TIER 1B - Verified Good
Kelty Tactical,http://www.kelty.com,Shopify,"$16,000,000",sporting goods,75,TIER 1B - Verified Good,Shopify; Revenue $16M; Priority vertical: sporting goods; Decision complexity; DTC signals,TIER 1B - Verified Good
Nite Ize,http://www.niteize.com,Magento,"$225,000,000",consumer goods,70,TIER 1B - Verified Good,Magento (large merchant - platform agnostic); Zendesk; Revenue $225M; Decision complexity; DTC signals,TIER 1B - Verified Good
Under Armour,http://www.underarmour.com,Salesforce Commerce Cloud,"$5,164,310,000",apparel & fashion,85,TIER 1C - Enterprise (special approach),Salesforce Commerce Cloud (large merchant - platform agnostic); Zendesk; Revenue $5164M; Priority vertical: apparel & fashion; Decision complexity; DTC signals,TIER 1C - Enterprise (special approach)
Arc'teryx LEAF,http://www.arcteryx.com,Shopify,"$2,000,000,000",apparel & fashion,85,TIER 1C - Enterprise (special approach),Shopify; Revenue $2000M; Priority vertical: apparel & fashion; Decision complexity; DTC signals,TIER 1C - Enterprise (special approach)
Salomon,http://www.salomon.com,Unknown,"$1,000,000,000",sporting goods,75,TIER 1C - Enterprise (special approach),Large merchant - platform agnostic; Revenue $1000M; Priority vertical: sporting goods; Decision complexity; DTC signals,TIER 1C - Enterprise (special approach)
League-Legacy,http://www.l2brands.com,Shopify,"$71,000,000",apparel & fashion,85,Fit,Shopify; Revenue $71M; Priority vertical: apparel & fashion; Decision complexity; DTC signals,Cooper Verified
Outdoor Edge,http://www.outdooredge.com,Shopify,"$59,444,000",sporting goods,85,Fit,Shopify; Revenue $59M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
Microtech Knives,http://www.microtechknives.com,Shopify,"$26,265,000",sporting goods,80,Fit,Shopify; Revenue $26M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
Microtech Knives,http://www.microtechknives.com,Shopify,"$26,265,000",sporting goods,80,Fit,Shopify; Revenue $26M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
XGO,http://www.proxgo.com,Shopify,"$64,718,000",apparel & fashion,80,Fit,Shopify; Revenue $65M; Priority vertical: apparel & fashion; DTC signals,Cooper Verified
Rothco,http://www.rothco.com,Unknown,"$56,115,000",apparel & fashion,75,Fit,Large merchant - platform agnostic; Revenue $56M; Priority vertical: apparel & fashion; Decision complexity; DTC signals,Cooper Verified
Summit Outdoors,http://www.shadowhunterblinds.com,Shopify,"$26,920,000",sporting goods,75,Fit,Shopify; Revenue $27M; Priority vertical: sporting goods; DTC signals,Cooper Verified
T.R.U. BALL/AXCEL Archery,http://www.truball.com,Shopify,"$18,021,000",sporting goods,75,Fit,Shopify; Revenue $18M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
Revelyst,http://www.revelyst.com,Salesforce Commerce Cloud,"$368,159,000",sporting goods,75,Fit,Salesforce Commerce Cloud (large merchant - platform agnostic); Revenue $368M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
GSM Outdoors,http://www.gsmoutdoors.com,BigCommerce,"$1,400,000,000",sporting goods,75,Fit,Large merchant - platform agnostic; Revenue $1400M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
Sandpiper of California,http://www.sandpiperca.com,Shopify,"$10,000,000",sporting goods,75,Fit,Shopify; Revenue $10M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
Rocky Brands,http://www.rockybrands.com,Unknown,"$453,772,000",apparel & fashion,75,Fit,Large merchant - platform agnostic; Revenue $454M; Priority vertical: apparel & fashion; Decision complexity; DTC signals,Cooper Verified
McRae Footwear,http://www.mcraefootwear.com,Unknown,"$122,404,000",apparel & fashion,70,Fit,Large merchant - platform agnostic; Revenue $122M; Priority vertical: apparel & fashion; DTC signals,Cooper Verified
Glacier Glove,http://www.glacieroutdoor.com,Shopify,"$17,332,000",sporting goods,70,Fit,Shopify; Revenue $17M; Priority vertical: sporting goods; DTC signals,Cooper Verified
Lancaster Archery Supply,http://www.lancasterarchery.com,Shopify,"$5,362,000",sporting goods,70,Fit,Shopify; Zendesk; Revenue $5.4M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
W.R. Case & Sons Cutlery Co.,http://www.caseknives.com,Shopify,"$20,000,000",consumer goods,65,Fit,Shopify; Revenue $20M; Decision complexity; DTC signals,Cooper Verified
Original Footwear Co.,http://www.originalfootwear.com,Shopify,"$23,162,000",mechanical or industrial engineering,65,Fit,Shopify; Revenue $23M; Decision complexity; DTC signals,Cooper Verified
Fox Tactical,http://www.foxoutdoor.com,Shopify,"$22,745,000",import & export,65,Fit,Shopify; Revenue $23M; Decision complexity; DTC signals,Cooper Verified
Haas Outdoors Inc./Mossy Oak,http://www.mossyoak.com,Shopify,"$34,300,000",retail,65,Fit,Shopify; Revenue $34M; Decision complexity; DTC signals,Cooper Verified
First Texas Products,http://www.firsttexasproducts.com,Shopify,"$36,210,000",electrical/electronic manufacturing,65,Fit,Shopify; Revenue $36M; Decision complexity; DTC signals,Cooper Verified
Viktos LLC,http://www.viktos.com,Shopify,Unknown,apparel & fashion,65,Fit,Shopify; Zendesk; Priority vertical: apparel & fashion; Decision complexity; DTC signals,Cooper Verified
Holosun Technologies Inc.,http://www.holosun.com,Unknown,"$56,750,000",sporting goods,65,Fit,Large merchant - platform agnostic; Revenue $57M; Priority vertical: sporting goods; Decision complexity,Cooper Verified
FoxFury,http://www.foxfury.com,Shopify,"$12,314,000",public safety,60,Fit,Shopify; Revenue $12M; Decision complexity; DTC signals,Cooper Verified
Kitanica,http://www.kitanica.com,Shopify,"$4,514,000",apparel & fashion,60,Fit,Shopify; Revenue $4.5M; Priority vertical: apparel & fashion; Decision complexity; DTC signals,Cooper Verified
YETI,http://www.yeti.com,Salesforce Commerce Cloud,"$1,829,873,000",mechanical or industrial engineering,60,Fit,Salesforce Commerce Cloud (large merchant - platform agnostic); Revenue $1830M; Decision complexity; DTC signals,Cooper Verified
WSI Sports,http://www.wsisports.com,Shopify,"$4,000,000",sporting goods,60,Fit,Shopify; Revenue $4.0M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
Sydor Optics,http://www.sydor.com,Unknown,"$50,000,000",defense & space,60,Fit,Large merchant - platform agnostic; Revenue $50M; Decision complexity; DTC signals,Cooper Verified
Swarovski Optik North America Ltd.,http://www.swarovskioptik.com,Unknown,"$245,000,000",mechanical or industrial engineering,60,Fit,Large merchant - platform agnostic; Revenue $245M; Decision complexity; DTC signals,Cooper Verified
American Outdoor Brands,http://www.aob.com,WooCommerce,"$222,322,000",mechanical or industrial engineering,60,Fit,WooCommerce (large merchant - platform agnostic); Revenue $222M; Decision complexity; DTC signals,Cooper Verified
OLFA WORKS,http://www.olfa.com,Shopify,"$20,285,000",mechanical or industrial engineering,60,Fit,Shopify; Revenue $20M; DTC signals,Cooper Verified
NANUK,http://www.nanuk.com,Shopify,"$15,000,000",packaging & containers,60,Fit,Shopify; Revenue $15M; Decision complexity; DTC signals,Cooper Verified
Outdoor Sportsman Group,http://www.outdoorchannel.com,Unknown,"$87,000,000",media production,60,Fit,Large merchant - platform agnostic; Revenue $87M; Decision complexity; DTC signals,Cooper Verified
Seirus Innovation,http://www.seirus.com,Shopify,"$2,846,000",sporting goods,60,Fit,Shopify; Revenue $2.8M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
Estwing Manufacturing,http://www.estwing.com,Unknown,"$66,300,000",mechanical or industrial engineering,60,Fit,Large merchant - platform agnostic; Revenue $66M; Decision complexity; DTC signals,Cooper Verified
Spyderco Inc.,http://www.spyderco.com,Shopify,"$18,000,000",consumer goods,60,Fit,Shopify; Revenue $18M; Decision complexity; DTC signals,Cooper Verified
Condor Outdoor Products,http://www.condoroutdoor.com,Shopify,"$2,966,000",sporting goods,60,Fit,Shopify; Revenue $3.0M; Priority vertical: sporting goods; Decision complexity; DTC signals,Cooper Verified
Neptune Trading,http://www.neptunetradinginc.com,Shopify,"$19,566,000",wholesale,60,Fit,Shopify; Revenue $20M; Decision complexity; DTC signals,Cooper Verified
Streamlight Inc.,http://www.streamlight.com,Unknown,"$69,237,000",electrical/electronic manufacturing,60,Fit,Large merchant - platform agnostic; Revenue $69M; Decision complexity; DTC signals,Cooper Verified
Kenyon Consumer Products,http://www.kenyon.us,Shopify,"$10,000,000",consumer goods,60,Fit,Shopify; Revenue $10M; Decision complexity; DTC signals,Cooper Verified
Radians Inc.,http://www.radians.com,Unknown,"$120,500,000",wholesale,60,Fit,Large merchant - platform agnostic; Revenue $120M; Decision complexity; DTC signals,Cooper Verified
Stone Glacier,http://www.stoneglacier.com,Shopify,"$11,100,000",mechanical or industrial engineering,60,Fit,Shopify; Revenue $11M; Decision complexity; DTC signals,Cooper Verified