Company,Website,Platform,Revenue,Industry,Score,Tier,Fit Reasons,Concerns
DripDrop Hydration,http://www.dripdrop.com,Shopify,"$15,000,000","health, wellness & fitness",95,TIER 1 - PRIORITY,Shopify; Gorgias in stack; Zendesk in stack; Revenue $15M,
STRAUSS Workwear,http://www.strauss.com,Shopify,"$1,545,000,000",apparel & fashion,95,TIER 1 - PRIORITY,Shopify; Zendesk in stack; Strong revenue $1545M; Priority vertical: apparel,
Leatherman Tool Group,http://www.leatherman.com,Shopify,"$100,000,000",mechanical or industrial engineering,85,TIER 1 - PRIORITY,Shopify; Strong revenue $100M; Priority vertical: outdoor; Premium products,
BOOT BARN,http://www.bootbarn.com,Shopify,"$1,911,104,000",retail,85,TIER 1 - PRIORITY,Shopify; Strong revenue $1911M; Priority vertical: apparel; Safety-critical,
Nilfisk,http://www.nilfisk.com,Shopify,"$1,070,904,000",machinery,85,TIER 1 - PRIORITY,Shopify; Strong revenue $1071M; Priority vertical: electronics; Premium products,
PPG,http://www.ppg.com,Shopify,"$15,845,000,000",chemicals,85,TIER 1 - PRIORITY,Shopify; Strong revenue $15845M; Priority vertical: electronics; High quality,
CHAPIN INTERNATIONAL,http://www.chapinusa.com,Shopify,"$108,332,000",mechanical or industrial engineering,85,TIER 1 - PRIORITY,Shopify; Strong revenue $108M; Priority vertical: electronics; Professional grade,
Rebook Office,http://www.reebok.com,Shopify,"$2,300,000,000",mechanical or industrial engineering,85,TIER 1 - PRIORITY,Shopify; Strong revenue $2300M; Priority vertical: health; High quality,
Tingley,http://www.tingleyrubber.com,Shopify,"$68,000,000",mechanical or industrial engineering,85,TIER 1 - PRIORITY,Shopify; Strong revenue $68M; Priority vertical: apparel; Safety-critical,
Blades Direct,http://www.bladesdirect.net,Shopify,"$24,373,000",construction,80,TIER 1 - PRIORITY,Shopify; Good revenue $24M; Priority vertical: electronics; Professional grade,
Titan Straps LLC,http://www.titanstraps.com,Shopify,"$28,410,000",construction,80,TIER 1 - PRIORITY,Shopify; Good revenue $28M; Priority vertical: health; Safety-critical,
Concrete Pump Supply,http://www.concretepumpsupply.com,Shopify,"$26,247,000",construction,80,TIER 1 - PRIORITY,Shopify; Good revenue $26M; Priority vertical: electronics; Safety-critical,
AUSA,http://www.ausa.org,Shopify,"$27,615,000",international affairs,80,TIER 1 - PRIORITY,Shopify; Good revenue $28M; Priority vertical: electronics; Professional grade,
KOR-IT Inc.,http://www.kor-it.com,Shopify,"$28,997,000",machinery,80,TIER 1 - PRIORITY,Shopify; Good revenue $29M; Priority vertical: electronics; Professional grade,
Little Giant Ladder Systems,http://www.littlegiantladders.com,Shopify,"$30,000,000",consumer goods,80,TIER 1 - PRIORITY,Shopify; Good revenue $30M; Priority vertical: electronics; Professional grade,
Flex Tech Hose and Tubing,http://www.flextechhose.com,Shopify,"$47,323,000",mechanical or industrial engineering,80,TIER 1 - PRIORITY,Shopify; Good revenue $47M; Priority vertical: electronics; Performance products,
PROSOCO,http://www.prosoco.com,BigCommerce,"$58,700,000",construction,75,TIER 1 - PRIORITY,BigCommerce (large merchant); Strong revenue $59M; Priority vertical: electronics; High quality,
Ford Pro,http://www.fordpro.com,Shopify,"$66,900,000,000",automotive,75,TIER 1 - PRIORITY,Shopify; Strong revenue $66900M; Priority vertical: electronics; Professional grade,
Grizzly Coolers,http://www.grizzlycoolers.com,Shopify,"$12,500,000",mechanical or industrial engineering,75,TIER 1 - PRIORITY,Shopify; Revenue $12M; Priority vertical: outdoor; Premium products,
FJ Dynamics International Limited,http://www.fjdynamics.com,Shopify,"$81,000,000",machinery,75,TIER 1 - PRIORITY,Shopify; Strong revenue $81M; Priority vertical: electronics; Customization,
Noregon Systems,http://www.noregon.com,Shopify,"$61,400,000",information technology & services,75,TIER 1 - PRIORITY,Shopify; Strong revenue $61M; Priority vertical: health; Professional grade,
U.C Coatings,http://www.uccoatings.com,Shopify,"$20,000,000",chemicals,75,TIER 1 - PRIORITY,Shopify; Good revenue $20M; Priority vertical: electronics; DTC/e-commerce signals,
Xtreme Polishing Systems,http://www.xtremepolishingsystems.com,Shopify,"$17,000,000",wholesale,75,TIER 1 - PRIORITY,Shopify; Revenue $17M; Priority vertical: electronics; Professional grade,
ProClip USA,http://www.proclipusa.com,Shopify,"$10,378,000",electrical/electronic manufacturing,75,TIER 1 - PRIORITY,Shopify; Revenue $10M; Priority vertical: health; High quality,
"STUDSON, Inc.",http://www.studson.com,Shopify,"$10,587,000",construction,75,TIER 1 - PRIORITY,Shopify; Revenue $11M; Priority vertical: electronics; Safety-critical,
TREDS,http://www.treds.com,Shopify,"$10,003,000",mechanical or industrial engineering,75,TIER 1 - PRIORITY,Shopify; Revenue $10M; Priority vertical: apparel; Safety-critical,
"Franmar, Inc",http://www.franmar.com,Shopify,"$13,603,000",chemicals,70,TIER 1 - PRIORITY,Shopify; Revenue $14M; Priority vertical: health; DTC/e-commerce signals,
Nycon Corporation,http://www.nycon.com,Shopify,"$10,000,000",building materials,70,TIER 1 - PRIORITY,Shopify; Revenue $10M; Priority vertical: electronics; DTC/e-commerce signals,
Moasure,http://www.moasure.com,Shopify,"$3,500,000",electrical/electronic manufacturing,70,TIER 1 - PRIORITY,Shopify; Zendesk in stack; Priority vertical: outdoor; Professional grade,Below $10M threshold ($3.5M)
Vodaland,http://www.vodaland-usa.com,Shopify,N/A,construction,65,TIER 1 - PRIORITY,Shopify; Zendesk in stack; Priority vertical: electronics; Customization,No revenue data
Rooster Asset Tracking Systems,http://www.rooster.com,Shopify,"$35,926,000",mining & metals,65,TIER 1 - PRIORITY,Shopify; Good revenue $36M; Priority vertical: electronics,
DuroMax Power Equipment,http://www.duromaxpower.com,Shopify,N/A,environmental services,65,TIER 1 - PRIORITY,Shopify; Gorgias in stack; Priority vertical: outdoor; Professional grade,No revenue data
MTN OPS,http://www.mtnops.com,Shopify,N/A,mechanical or industrial engineering,65,TIER 1 - PRIORITY,Shopify; Gorgias in stack; Priority vertical: health; Performance products,No revenue data
RAM Mounts,http://www.rammount.com,Shopify,"$15,000,000",mechanical or industrial engineering,65,TIER 1 - PRIORITY,Shopify; Revenue $15M; Priority vertical: electronics; High quality,
C60,http://www.shopc60.com,Shopify,N/A,"health, wellness & fitness",65,TIER 1 - PRIORITY,Shopify; Zendesk in stack; Priority vertical: health; Premium products,No revenue data
Ironwear,http://www.ironwear.com,Shopify,N/A,wholesale,65,TIER 1 - PRIORITY,Shopify; Zendesk in stack; Priority vertical: apparel; High quality,No revenue data
Shop-Vac,http://www.shopvac.com,Shopify,"$500,000,000",mechanical or industrial engineering,65,TIER 1 - PRIORITY,Shopify; Strong revenue $500M; DTC/e-commerce signals,
ISOtunes,http://www.isotunes.com,Shopify,N/A,electrical/electronic manufacturing,65,TIER 1 - PRIORITY,Shopify; Zendesk in stack; Priority vertical: apparel; Safety-critical,No revenue data
"Wharton Concrete Forming Supply of NV, MD",http://www.whartonhardware.com,Shopify,"$10,000,000",wholesale,60,TIER 1 - PRIORITY,Shopify; Revenue $10M; Professional grade; DTC/e-commerce signals,
LIFT SAFETY,http://www.liftsafety.com,Shopify,"$5,500,000",mechanical or industrial engineering,60,TIER 1 - PRIORITY,Shopify; Priority vertical: electronics; Premium products; DTC/e-commerce signals,Below $10M threshold ($5.5M)
Dotworkz,http://www.dotworkz.com,Shopify,"$4,839,000",electrical/electronic manufacturing,60,TIER 1 - PRIORITY,Shopify; Priority vertical: outdoor; Professional grade; DTC/e-commerce signals,Below $10M threshold ($4.8M)
MULTI SEAL Tire Sealants,http://www.multiseal.us,Shopify,"$6,897,000",mechanical or industrial engineering,60,TIER 1 - PRIORITY,Shopify; Priority vertical: electronics; Safety-critical; DTC/e-commerce signals,Below $10M threshold ($6.9M)
"Ultimate Creations InfiniteAloe, Inc.",http://www.infinitealoe.com,Shopify,"$4,168,000",cosmetics,60,TIER 1 - PRIORITY,Shopify; Priority vertical: health; Premium products; DTC/e-commerce signals,Below $10M threshold ($4.2M)
Healthy Feet,http://www.healthyfeetstore.com,Shopify,"$4,518,000",retail,60,TIER 1 - PRIORITY,Shopify; Priority vertical: health; High quality; DTC/e-commerce signals,Below $10M threshold ($4.5M)
"Wharton Hardware & Supply of NJ, PA, VA, MD",http://www.whartonhardware.com,Shopify,"$10,000,000",wholesale,60,TIER 1 - PRIORITY,Shopify; Revenue $10M; Professional grade; DTC/e-commerce signals,
Epoxy Depot,http://www.epoxydepotusa.com,Shopify,N/A,retail,55,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; Professional grade; DTC/e-commerce signals,No revenue data
ArmorEdge,http://www.armoredge.com,Shopify,N/A,mechanical or industrial engineering,55,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; Premium products; DTC/e-commerce signals,No revenue data
SENIX Tools,http://www.senixtools.com,Shopify,N/A,retail,55,TIER 2 - VALIDATE,Shopify; Priority vertical: outdoor; Premium products; DTC/e-commerce signals,No revenue data
Vuba Stone,http://www.vuba-stone.com,Shopify,N/A,mechanical or industrial engineering,55,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; High quality; DTC/e-commerce signals,No revenue data
Authentic Leather Patch Co.,http://www.leatherpatchcompany.com,Shopify,N/A,mechanical or industrial engineering,55,TIER 2 - VALIDATE,Shopify; Priority vertical: apparel; Customization; DTC/e-commerce signals,No revenue data
VINAWOOD Formwork Plywood,http://www.vinawoodltd.com,Shopify,N/A,paper & forest products,55,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; Professional grade; DTC/e-commerce signals,No revenue data
Pyramex Safety Products LLC,http://www.pyramex.com,Shopify,N/A,public safety,55,TIER 2 - VALIDATE,Shopify; Priority vertical: apparel; Safety-critical; DTC/e-commerce signals,No revenue data
FJDZ,http://www.fjdzinc.com,Shopify,N/A,mechanical or industrial engineering,55,TIER 2 - VALIDATE,Shopify; Priority vertical: apparel; High quality; DTC/e-commerce signals,No revenue data
GripMetal,http://www.gripmetal.com,Shopify,N/A,machinery,55,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; Performance products; DTC/e-commerce signals,No revenue data
"Ellis Manufacturing Company, Inc.",http://www.ellismanufacturing.com,Shopify,N/A,building materials,55,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; Technical products; DTC/e-commerce signals,No revenue data
Rockster,http://www.therockster.com,Shopify,N/A,food & beverages,55,TIER 2 - VALIDATE,Shopify; Priority vertical: health; Premium products; DTC/e-commerce signals,No revenue data
Tomahawk Power,http://www.tomahawk-power.com,Shopify,N/A,construction,55,TIER 2 - VALIDATE,Shopify; Priority vertical: outdoor; Professional grade; DTC/e-commerce signals,No revenue data
Truewerk,http://www.truewerk.com,Shopify,N/A,apparel & fashion,55,TIER 2 - VALIDATE,Shopify; Priority vertical: apparel; Professional grade; DTC/e-commerce signals,No revenue data
Kanga,http://www.kangacoolers.com,Shopify,N/A,food & beverages,55,TIER 2 - VALIDATE,Shopify; Priority vertical: apparel; Customization; DTC/e-commerce signals,No revenue data
Valvoline Global Products,http://www.valvolineglobal.com,Shopify,N/A,oil & energy,55,TIER 2 - VALIDATE,Shopify; Priority vertical: health; Premium products; DTC/e-commerce signals,No revenue data
Redfern Enterprises Inc,http://www.redfernent.com,Shopify,"$8,777,000",mechanical or industrial engineering,55,TIER 2 - VALIDATE,Shopify; Priority vertical: health; DTC/e-commerce signals,Below $10M threshold ($8.8M)
Branded Bills,http://www.brandedbills.com,Shopify,N/A,apparel & fashion,55,TIER 2 - VALIDATE,Shopify; Priority vertical: apparel; Premium products; DTC/e-commerce signals,No revenue data
Corona Tools,http://www.coronatools.com,Shopify,N/A,mechanical or industrial engineering,55,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; Professional grade; DTC/e-commerce signals,No revenue data
Slurry Tub,http://www.slurrytub.com,Shopify,N/A,building materials,55,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; Safety-critical; DTC/e-commerce signals,No revenue data
Komodo System,http://www.komodo-fire.com,Shopify,N/A,government administration,55,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; Safety-critical; DTC/e-commerce signals,No revenue data
SEL SEALANTS,http://www.selsil.com,Shopify,N/A,chemicals,55,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; Technical products; DTC/e-commerce signals,No revenue data
Corrosion Technologies,http://www.corrosionx.com,Shopify,N/A,chemicals,55,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; Protective gear; DTC/e-commerce signals,No revenue data
Simply Tec,http://www.simplytek.lk,Shopify,N/A,retail,55,TIER 2 - VALIDATE,Shopify; Priority vertical: health; Premium products; DTC/e-commerce signals,No revenue data
LockNLube,http://www.locknlube.com,Shopify,N/A,machinery,50,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; DTC/e-commerce signals,No revenue data
City Restore Inc,http://www.cityrestore.com,Shopify,N/A,construction,50,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; DTC/e-commerce signals,No revenue data
DOPE Marketing,http://www.dopemarketing.com,Shopify,N/A,marketing & advertising,50,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; DTC/e-commerce signals,No revenue data
MudMixer,http://www.mudmixer.com,Shopify,N/A,construction,50,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; DTC/e-commerce signals,No revenue data
Vector Corrosion Technologies,http://www.vector-corrosion.com,Shopify,N/A,construction,45,TIER 2 - VALIDATE,Shopify; Priority vertical: electronics; Professional grade,No revenue data
FallTech,http://www.falltech.com,BigCommerce,"$17,000,000",construction,45,TIER 2 - VALIDATE,Revenue $17M; Priority vertical: electronics; High quality,"BigCommerce - small merchant, complex onboarding"
Construction Accessories - JackJaw Extractors,http://www.concretestakepuller.com,Shopify,"$11,807,000",,45,TIER 2 - VALIDATE,Shopify; Revenue $12M,
Stealth Guard PPE,http://www.stealtharmor.co,Shopify,N/A,,45,TIER 2 - VALIDATE,Shopify; Priority vertical: apparel; Premium products,No revenue data
Continental Abrasives,http://www.continentalabrasives.com,Shopify,N/A,retail,35,TIER 3 - UNLIKELY,Shopify; DTC/e-commerce signals,No revenue data
Bad Dog Tools,http://www.baddogtools.com,BigCommerce,N/A,machinery,35,TIER 3 - UNLIKELY,Priority vertical: electronics; Safety-critical; DTC/e-commerce signals,"BigCommerce - small merchant, complex onboarding; No revenue data"
Klein Electronics,http://www.kleinelectronics.com,BigCommerce,N/A,telecommunications,35,TIER 3 - UNLIKELY,Priority vertical: electronics; Professional grade; DTC/e-commerce signals,"BigCommerce - small merchant, complex onboarding; No revenue data"
Freeman Tools,http://www.freemantools.com,Shopify,N/A,construction,30,TIER 3 - UNLIKELY,Shopify; Professional grade,No revenue data
Con-Tech Manufacturing,http://www.ctmmixers.com,BigCommerce,"$3,305,000",automotive,30,TIER 3 - UNLIKELY,Priority vertical: electronics; Professional grade,"BigCommerce - small merchant, complex onboarding; Below $10M threshold ($3.3M)"
Martinez Tool Company,http://www.martineztools.com,Shopify,N/A,,25,TIER 3 - UNLIKELY,Shopify,No revenue data
Western States Cabling,http://www.wscable.com,BigCommerce,N/A,,5,TIER 3 - UNLIKELY,,"BigCommerce - small merchant, complex onboarding; No revenue data"
